@relation kr-vs-kp-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-unset-class-temporarily

@attribute bkblk {t,f}
@attribute bknwy {t,f}
@attribute bkon8 {t,f}
@attribute bkona {t,f}
@attribute bkspr {t,f}
@attribute bkxbq {t,f}
@attribute bkxcr {t,f}
@attribute bkxwp {t,f}
@attribute blxwp {t,f}
@attribute bxqsq {t,f}
@attribute cntxt {t,f}
@attribute dsopp {t,f}
@attribute dwipd {g,l}
@attribute hdchk {t,f}
@attribute katri {b,n,w}
@attribute mulch {t,f}
@attribute qxmsq {t,f}
@attribute r2ar8 {t,f}
@attribute reskd {t,f}
@attribute reskr {t,f}
@attribute rimmx {t,f}
@attribute rkxwp {t,f}
@attribute rxmsq {t,f}
@attribute simpl {t,f}
@attribute skach {t,f}
@attribute skewr {t,f}
@attribute skrxp {t,f}
@attribute spcop {t,f}
@attribute stlmt {t,f}
@attribute thrsk {t,f}
@attribute wkcti {t,f}
@attribute wkna8 {t,f}
@attribute wknck {t,f}
@attribute wkovl {t,f}
@attribute wkpos {t,f}
@attribute wtoeg {n,t,f}
@attribute class {won,nowin}

@data
f,f,f,f,t,t,t,t,t,t,f,f,l,f,n,f,f,?,f,f,f,f,f,f,?,f,f,f,f,?,f,f,t,t,t,t,nowin
f,f,f,f,t,t,t,t,?,?,f,f,l,f,n,f,f,t,f,f,f,f,f,?,f,f,f,f,f,f,f,f,f,t,t,t,nowin
?,f,f,t,f,t,t,t,t,?,f,?,l,f,n,f,f,?,?,f,f,f,f,t,f,f,f,f,f,f,?,f,f,t,t,?,?
f,f,f,f,f,t,?,t,t,t,f,f,l,f,n,f,f,f,f,f,f,f,f,f,?,f,t,f,f,f,f,?,t,f,t,t,nowin
f,f,f,f,t,t,f,t,t,t,f,f,l,f,n,f,f,f,?,f,f,f,?,f,f,f,t,?,f,f,f,f,t,f,t,t,nowin
f,f,?,f,f,?,f,f,f,t,f,t,g,f,n,?,f,t,f,f,f,?,f,t,f,f,f,f,f,f,f,f,f,t,t,t,?
f,f,f,f,f,t,f,f,f,t,f,t,g,f,n,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,t,?,?,nowin
f,t,?,f,f,f,?,f,f,t,f,t,l,f,n,f,f,f,f,?,f,f,f,f,f,f,f,f,?,f,f,f,?,f,t,t,nowin
f,?,f,f,f,f,?,f,f,t,f,t,l,f,n,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?,?,t,t,t,nowin
f,t,f,f,f,f,f,?,f,?,f,t,l,?,n,t,f,f,?,f,f,f,?,f,f,f,f,f,f,f,f,f,f,f,t,t,nowin
f,f,f,f,f,f,?,f,f,t,f,f,g,f,n,f,f,t,f,t,f,?,t,f,f,t,f,f,t,f,f,t,?,t,f,n,nowin
f,f,f,f,f,f,t,f,f,t,f,?,l,f,n,f,f,t,f,?,f,f,t,f,?,t,f,f,t,f,f,t,f,t,f,n,nowin
f,?,f,f,f,f,t,f,f,t,f,t,g,f,n,f,?,t,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,n,nowin
f,f,f,f,f,f,t,f,?,t,?,t,?,f,n,f,f,t,f,t,?,f,t,?,f,t,f,f,t,?,f,t,f,t,f,n,nowin
f,f,f,f,t,f,?,f,t,f,t,?,g,f,b,?,f,t,f,f,f,t,f,t,f,t,f,f,f,f,f,?,f,t,?,n,nowin
f,?,f,?,t,f,f,f,f,f,t,f,g,f,b,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,n,nowin
f,f,f,f,t,f,?,f,t,?,t,f,g,?,b,f,f,t,f,f,f,t,f,f,?,t,f,f,f,f,f,f,f,t,?,n,nowin
f,f,f,f,f,f,f,f,f,?,f,f,g,f,b,f,f,?,f,?,f,f,f,f,f,t,f,f,f,f,t,t,f,t,f,n,?
f,?,f,f,t,f,f,f,t,f,t,f,g,f,b,f,f,t,f,f,f,t,?,t,f,t,f,?,f,f,f,f,f,t,t,?,nowin
f,f,?,f,?,f,t,f,t,f,t,f,g,f,b,f,f,t,f,f,f,t,f,t,f,t,f,f,f,f,f,?,f,t,?,n,nowin
f,f,f,f,f,f,?,f,f,f,f,f,g,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,t,t,?,?,?,n,nowin
f,f,?,f,f,f,?,f,f,f,?,f,?,f,?,f,f,t,f,?,f,f,f,?,f,t,f,f,f,t,f,t,f,t,f,n,nowin
f,f,f,f,f,f,f,?,t,f,f,f,g,f,n,f,f,t,f,f,?,t,f,t,?,t,f,f,?,?,f,t,f,t,f,?,nowin
f,f,f,f,f,f,f,f,t,f,f,f,g,f,n,f,f,?,f,f,f,t,f,f,f,?,f,f,f,f,f,?,f,t,f,n,nowin
f,f,f,f,f,f,t,f,t,f,?,f,g,f,n,f,f,t,f,f,?,?,?,f,?,?,f,f,f,f,f,t,f,t,f,n,nowin
t,f,f,?,f,f,f,f,?,f,f,f,g,?,b,f,?,t,f,f,f,?,f,t,f,t,f,f,f,f,f,t,f,?,f,n,?
t,f,?,f,f,f,f,?,f,f,?,f,g,f,b,f,?,t,f,f,f,f,f,t,f,t,?,f,f,t,f,t,?,t,f,n,nowin
t,f,f,f,f,f,f,f,f,f,f,f,g,f,b,?,f,t,f,f,f,f,f,f,f,?,f,f,f,f,f,t,f,t,f,n,nowin
t,f,?,f,f,f,f,f,f,f,f,f,g,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,t,f,n,nowin
t,f,f,f,f,f,f,f,f,f,f,?,g,f,n,f,?,t,f,?,f,f,f,t,?,t,?,f,?,t,f,t,f,t,f,n,nowin
f,f,f,f,t,f,t,t,?,f,t,f,g,f,b,?,f,t,f,f,f,?,f,t,f,t,f,f,f,f,f,f,f,t,?,n,nowin
f,f,f,f,t,?,t,t,t,f,t,?,g,f,b,f,f,t,f,f,f,t,f,t,f,t,f,f,f,f,f,f,?,t,t,n,nowin
f,f,f,f,t,f,t,t,t,f,t,f,g,f,b,f,f,t,f,f,f,f,f,f,?,t,f,f,f,f,f,f,f,t,t,n,nowin
f,f,f,f,t,f,t,t,t,f,?,f,g,f,b,f,f,t,f,f,f,t,f,f,f,t,?,f,f,f,f,?,f,t,t,n,nowin
f,f,f,f,t,f,t,t,t,f,t,f,g,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,?,?,n,nowin
f,?,f,f,f,f,t,t,t,f,t,f,g,f,n,f,?,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,t,f,n,nowin
f,f,f,f,t,f,t,t,t,?,f,f,g,f,n,f,f,t,?,f,?,t,f,f,f,t,f,f,f,?,?,f,t,t,t,n,?
f,f,f,?,?,?,?,f,f,f,t,f,g,?,b,f,t,t,f,f,f,?,t,f,f,t,f,f,f,f,f,f,f,?,t,n,nowin
f,f,f,f,f,f,t,t,t,f,f,?,g,f,?,f,f,?,f,f,f,f,t,f,f,t,f,f,f,f,f,t,?,t,f,n,nowin
f,f,f,f,f,f,t,t,t,f,f,f,g,f,n,f,f,t,f,f,f,?,t,?,f,t,f,f,f,f,f,t,f,t,f,n,nowin
t,f,t,f,f,f,f,f,f,f,t,f,g,t,b,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,n,nowin
t,t,t,f,f,f,f,f,f,f,?,f,g,t,b,t,f,t,f,f,f,f,f,t,f,t,f,?,f,f,?,f,f,f,f,?,nowin
t,?,f,t,f,f,f,f,f,f,t,f,g,t,b,f,f,t,f,f,?,f,f,f,?,t,f,f,f,f,f,f,f,f,f,n,nowin
t,t,f,t,f,f,f,f,f,f,t,f,g,?,b,t,f,?,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,n,nowin
?,f,t,f,?,f,f,f,?,f,t,f,g,t,n,f,f,?,f,f,f,f,f,t,f,?,f,f,f,?,f,f,f,f,f,n,nowin
t,t,t,f,f,f,f,f,?,f,t,f,g,t,n,t,f,?,f,f,f,f,?,t,f,t,f,?,f,f,f,f,f,f,f,n,nowin
?,f,f,t,f,f,f,?,f,f,t,f,g,t,n,f,f,t,f,f,?,f,f,f,f,t,f,f,?,f,f,?,f,f,f,n,nowin
t,t,f,t,f,f,f,f,f,f,t,f,?,t,n,t,?,t,f,f,f,f,f,?,f,t,f,f,f,f,f,f,f,f,f,n,nowin
f,f,t,f,?,t,t,f,f,f,f,f,g,?,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,?,f,t,f,t,n,nowin
f,f,f,t,t,t,f,f,f,f,?,?,g,f,n,t,f,t,f,f,f,f,f,f,?,t,f,f,f,f,?,f,t,f,t,n,nowin
t,f,t,f,f,t,f,f,f,f,t,f,g,f,b,f,?,t,f,f,f,f,f,?,f,t,t,f,f,f,?,f,?,f,t,n,nowin
t,f,f,t,f,t,f,f,f,f,t,?,g,f,?,?,?,?,f,f,f,?,f,t,f,t,t,f,?,?,f,f,t,f,?,n,nowin
t,?,t,f,f,t,t,f,f,f,t,f,g,f,b,f,f,t,f,?,f,f,f,?,f,t,t,f,?,f,?,?,t,?,t,n,nowin
t,f,t,f,f,t,t,f,f,?,t,?,g,f,n,f,f,t,f,f,f,?,f,t,f,t,f,f,f,?,f,f,t,f,f,?,nowin
t,f,t,f,f,t,t,f,f,?,t,f,g,f,n,?,f,t,f,f,f,?,f,t,f,t,t,f,f,f,f,f,t,f,t,n,nowin
f,f,f,t,t,t,f,f,f,f,f,f,g,f,n,t,f,f,f,?,f,f,f,t,?,t,f,f,f,f,f,f,t,f,t,n,nowin
f,f,f,t,t,t,t,t,?,f,f,f,g,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,t,f,t,n,?
f,f,f,f,t,t,?,t,t,f,?,f,g,f,n,f,f,t,?,f,f,t,?,f,?,?,?,f,?,f,f,f,t,?,?,n,nowin
t,f,f,t,t,t,t,?,t,f,t,f,g,f,b,f,f,t,f,f,f,f,f,t,f,?,t,f,f,f,f,f,t,f,t,n,nowin
?,?,f,t,t,t,?,t,t,f,t,f,g,f,n,f,?,?,f,f,f,f,f,t,f,t,f,f,f,f,f,f,t,f,f,n,nowin
t,f,f,t,t,t,t,t,?,f,?,f,g,f,n,f,f,t,f,?,f,f,f,t,?,t,t,f,f,f,?,f,t,f,t,n,nowin
f,f,?,f,f,f,f,f,f,f,f,f,?,f,?,t,f,t,f,f,f,f,f,t,?,f,f,?,f,t,f,f,?,?,t,n,nowin
f,f,f,f,f,f,?,f,t,f,f,f,g,f,n,f,t,t,f,f,f,t,f,?,?,f,f,f,f,f,f,f,t,t,t,?,nowin
f,f,f,f,t,?,t,t,t,f,f,f,g,f,n,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,?,t,?,nowin
f,f,f,f,t,f,t,t,t,f,f,f,g,f,n,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,?,f,t,t,t,n,nowin
f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,?,t,f,f,f,f,t,?,f,f,f,f,f,f,f,f,?,t,t,n,nowin
f,f,?,f,?,t,?,f,f,f,f,f,g,f,n,f,f,t,f,f,f,?,f,t,f,f,f,f,f,f,f,f,t,f,t,n,?
f,f,f,f,t,?,t,f,t,f,f,f,g,?,n,?,f,t,f,f,f,t,f,t,f,f,f,f,?,f,f,f,t,t,t,?,?
f,f,f,?,?,t,f,?,f,f,f,f,?,f,n,?,f,t,f,f,f,f,f,f,f,f,f,f,f,?,f,f,t,f,t,n,?
f,f,f,t,t,t,f,f,f,f,f,f,?,f,n,t,f,f,f,f,f,f,f,t,?,f,f,f,?,f,?,f,t,f,?,n,nowin
f,f,f,f,t,t,t,t,t,f,f,?,g,f,n,f,f,t,f,f,f,f,?,t,f,f,?,f,f,f,f,f,t,t,t,n,nowin
f,f,f,t,?,t,t,t,t,?,f,f,g,f,n,f,f,?,f,?,f,?,f,t,f,f,f,f,f,f,f,?,t,f,t,n,nowin
f,f,f,f,t,t,t,t,t,f,f,f,g,f,n,f,f,?,f,?,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,n,nowin
f,f,f,f,t,t,t,t,t,?,f,f,g,f,n,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,?,f,?,t,t,n,nowin
f,f,f,f,t,?,t,t,t,f,f,f,g,f,n,f,f,f,?,?,f,f,f,t,f,f,f,f,f,f,f,f,?,f,t,n,nowin
?,f,f,f,t,f,f,f,t,f,t,f,l,f,b,f,f,t,f,f,?,t,f,t,?,t,?,f,f,f,f,f,f,t,f,n,nowin
f,f,f,f,t,f,f,?,t,f,?,?,l,f,b,f,f,t,f,?,?,t,f,t,f,t,f,f,?,f,f,f,f,t,f,n,nowin
f,f,f,t,t,f,f,f,f,f,t,f,l,f,b,f,f,t,?,t,f,f,f,f,?,t,f,f,f,f,f,?,f,t,f,n,nowin
f,f,f,f,t,f,f,f,t,f,t,f,?,f,?,f,f,t,f,t,f,t,f,f,f,t,f,f,f,?,f,f,f,t,f,n,nowin
f,f,f,f,t,f,f,f,f,f,f,f,l,f,b,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,?,f,n,nowin
f,?,f,?,t,f,f,f,t,f,f,f,l,f,b,f,f,t,f,f,f,?,f,?,?,t,f,f,f,f,f,t,f,t,f,n,nowin
f,f,f,f,t,?,f,f,t,f,f,f,l,f,b,f,f,t,f,t,f,t,f,t,f,t,f,f,f,?,f,t,f,t,f,?,nowin
f,t,f,f,f,f,f,?,f,f,?,f,l,f,b,t,f,t,f,f,f,f,f,f,f,t,f,f,?,f,t,t,f,t,f,n,nowin
f,f,f,f,t,f,f,f,t,f,f,f,l,f,b,f,f,t,?,f,f,t,f,f,f,t,f,f,f,?,f,t,f,t,f,n,nowin
f,f,f,f,t,f,f,f,t,f,f,f,l,f,b,f,f,t,f,t,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,?,nowin
f,f,f,f,f,f,f,f,f,?,t,f,l,f,n,?,f,t,f,t,f,f,f,t,f,t,t,f,f,f,?,f,?,?,f,n,nowin
f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,t,f,t,f,f,f,t,t,t,t,f,f,f,t,f,t,t,f,n,nowin
f,f,?,f,t,f,f,f,t,f,?,f,l,f,n,f,f,t,?,t,f,t,f,t,f,t,f,?,f,f,f,f,f,t,f,n,nowin
f,f,f,f,?,f,?,f,t,f,t,f,l,f,n,f,f,t,f,?,f,t,f,t,f,?,f,f,f,f,t,f,f,t,f,?,nowin
f,?,f,f,t,f,?,f,t,f,?,f,?,f,n,f,f,t,f,t,f,t,f,t,f,t,f,f,f,f,t,f,f,t,f,n,nowin
f,f,f,f,f,f,f,f,f,f,t,f,?,f,n,f,f,t,?,t,f,f,f,f,f,t,?,f,f,f,t,?,t,?,f,n,nowin
?,f,f,f,f,f,f,f,f,?,t,f,l,f,n,f,f,t,f,t,f,f,f,f,t,t,t,f,f,f,t,f,t,t,f,n,nowin
f,t,?,?,f,f,f,f,f,f,t,f,l,f,n,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,t,f,t,?,f,n,nowin
?,f,f,f,t,f,t,f,f,f,t,f,?,f,n,f,f,?,f,?,f,f,f,f,f,t,f,f,f,?,t,?,t,t,f,n,nowin
f,t,f,f,f,?,f,f,f,f,t,f,l,f,n,t,f,t,f,t,f,f,f,f,f,t,f,f,f,f,t,f,f,t,f,n,nowin
f,f,f,f,f,f,f,f,t,f,t,f,l,f,n,f,f,t,?,t,f,t,f,f,f,t,f,f,f,?,t,?,t,?,f,n,nowin
f,?,f,?,f,f,f,?,t,f,t,f,l,f,n,f,f,t,f,t,f,t,f,f,f,t,f,f,f,f,t,f,?,t,?,n,nowin
f,f,f,f,t,f,?,f,t,f,t,f,?,?,n,f,f,?,f,?,f,t,?,f,?,t,f,f,?,f,t,f,f,t,f,n,nowin
f,f,f,f,t,f,f,f,t,f,f,f,l,f,n,f,f,t,f,f,f,t,f,?,f,t,f,f,f,?,f,t,f,t,f,n,nowin
f,f,f,f,f,f,t,f,t,f,f,f,l,f,?,f,f,t,f,t,f,t,f,t,f,t,f,f,f,f,f,t,f,t,f,n,nowin
f,?,f,f,f,?,f,f,?,f,f,f,l,f,?,f,f,t,f,f,f,f,f,f,?,t,f,f,?,?,t,t,f,f,f,n,nowin
f,t,f,f,?,f,?,f,?,f,f,f,l,f,n,t,f,t,f,f,?,f,f,f,f,t,f,f,f,f,?,t,f,t,f,n,nowin
t,?,f,f,?,f,?,f,f,f,?,f,l,f,b,f,f,t,f,f,f,f,f,f,f,t,?,f,f,f,f,t,?,f,f,n,nowin
t,f,f,f,t,f,f,f,t,f,f,f,l,f,b,f,f,t,f,f,f,t,f,f,f,t,f,?,f,f,f,t,f,f,f,n,nowin
t,?,f,f,f,f,f,f,?,f,f,f,l,f,n,f,f,t,f,f,f,f,f,t,f,t,f,?,f,f,t,t,f,t,f,n,nowin
?,f,f,f,f,f,f,f,f,f,f,f,?,f,w,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,t,t,f,t,f,n,nowin
t,?,f,f,?,f,t,f,?,f,f,f,l,f,n,f,f,t,f,t,f,f,?,t,f,t,f,f,f,f,f,t,f,t,f,n,nowin
t,t,f,f,f,f,f,f,?,f,f,f,l,f,?,f,f,t,f,f,f,f,?,f,f,t,f,f,f,f,f,t,f,f,f,n,nowin
t,?,f,f,f,f,f,f,f,f,f,f,?,f,n,f,f,t,f,f,f,f,f,f,f,?,f,f,f,f,t,t,f,t,f,n,nowin
t,f,f,f,f,f,f,?,?,f,f,f,l,f,w,f,f,?,f,f,f,f,f,f,f,t,f,f,?,f,t,t,?,t,f,n,nowin
?,?,f,f,t,f,f,?,t,f,f,?,l,f,n,f,f,t,f,f,f,t,f,f,f,t,f,f,f,f,?,?,f,f,f,n,nowin
f,f,f,f,?,f,f,f,f,f,t,?,l,f,n,f,f,f,f,?,f,f,f,t,f,t,t,f,f,f,t,f,t,t,?,n,nowin
f,f,f,f,f,f,f,f,f,f,t,f,l,?,n,t,f,f,?,f,?,f,f,t,f,t,f,f,f,f,t,f,t,f,f,n,nowin
f,t,f,?,?,f,f,f,f,f,t,f,l,f,n,t,?,f,f,f,f,f,f,t,f,t,f,?,f,f,t,f,t,t,f,n,nowin
?,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,f,t,f,f,f,f,t,f,t,f,f,f,t,t,f,?,f,?,n,nowin
f,t,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,f,t,f,f,f,f,t,f,t,f,f,f,t,t,f,t,f,f,n,nowin
f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,f,f,f,f,f,f,t,t,t,f,f,f,f,t,f,f,f,f,n,nowin
f,f,f,f,f,f,?,f,f,f,t,f,l,f,n,f,f,f,f,?,f,f,f,t,f,?,f,f,f,?,t,f,f,f,f,n,nowin
f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,f,?,f,?,f,f,t,f,t,f,f,?,t,t,f,f,f,f,n,nowin
f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,f,f,t,f,f,f,?,f,t,t,f,f,f,f,f,t,?,f,n,nowin
?,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,t,f,?,f,?,n,nowin
f,f,?,?,f,f,f,f,f,f,t,f,l,?,n,f,f,f,f,t,f,f,f,f,f,?,f,f,f,f,t,f,t,f,f,n,nowin
f,f,f,?,f,f,f,f,f,f,t,f,l,f,n,f,f,f,f,t,f,f,?,f,f,t,?,f,f,f,t,f,t,t,f,n,nowin
f,f,f,f,t,f,t,f,f,?,t,f,l,?,n,f,f,f,f,f,?,f,f,f,f,t,f,f,f,f,t,f,t,f,f,n,?
f,f,f,f,t,f,t,f,f,f,t,f,l,f,n,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,t,f,t,?,f,n,?
f,f,?,t,t,f,f,?,f,f,t,f,l,f,n,f,f,?,?,?,f,f,f,f,f,?,f,f,f,f,f,f,f,f,f,n,nowin
f,f,f,?,f,f,f,f,f,?,t,f,?,f,n,f,f,?,f,?,f,f,f,f,f,t,f,f,f,f,t,f,f,?,f,n,nowin
f,?,f,f,t,f,f,f,?,?,t,f,l,f,n,f,f,?,f,t,f,f,f,?,f,?,?,?,f,f,t,f,f,f,f,n,?
f,?,f,t,t,?,f,f,f,f,t,f,l,f,n,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,n,nowin
f,f,f,f,f,f,f,f,t,f,?,f,l,f,n,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f,t,f,?,t,f,n,nowin
f,?,f,f,f,f,?,f,f,f,f,f,l,f,n,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,t,t,f,f,f,n,nowin
f,t,f,f,f,f,f,f,f,f,f,f,l,f,n,t,f,f,f,f,f,f,f,t,f,?,f,f,f,f,t,t,f,?,f,n,nowin
f,t,f,f,f,f,f,f,f,f,f,f,l,f,?,?,?,f,t,f,?,f,f,t,f,t,f,f,f,t,t,t,f,f,f,n,nowin
f,f,f,f,t,f,f,f,?,f,f,f,l,f,n,f,f,?,f,t,f,t,f,t,f,t,f,f,f,f,f,t,f,?,f,n,nowin
f,?,f,f,f,f,?,f,?,f,f,f,l,f,n,f,f,f,f,t,f,t,f,t,f,t,f,?,f,?,t,t,f,t,f,n,nowin
f,f,f,f,t,f,f,f,t,f,f,f,l,?,n,f,f,f,f,t,f,?,f,t,f,?,f,f,f,f,t,t,f,t,f,?,nowin
f,f,?,f,f,f,f,f,t,f,f,f,l,f,n,f,f,f,f,t,f,t,f,?,f,t,f,f,f,f,f,t,f,t,f,n,?
f,f,f,f,t,?,f,f,t,f,f,f,l,f,?,f,f,f,f,t,?,t,f,f,f,t,f,f,f,?,f,t,f,t,f,n,nowin
f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,f,f,t,f,t,f,f,?,t,f,f,f,f,t,t,?,t,f,n,nowin
f,f,?,f,t,f,f,f,t,f,f,f,l,f,n,f,f,f,?,?,f,t,f,?,f,t,f,f,?,f,t,t,f,t,f,n,nowin
?,t,f,?,f,?,f,f,f,?,f,f,l,f,b,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f,f,n,nowin
t,t,f,f,f,?,f,f,f,f,f,f,l,f,b,f,f,f,f,f,f,f,f,?,f,t,f,f,f,t,f,t,f,f,f,n,nowin
t,f,f,f,t,f,f,f,t,f,f,f,l,f,b,f,f,f,f,f,f,t,f,t,?,t,f,f,f,f,f,t,f,?,f,n,?
t,f,f,f,t,f,?,f,?,f,f,f,?,f,b,f,f,f,f,f,f,t,f,t,f,t,f,?,f,t,f,t,f,f,f,n,?
f,f,?,f,f,f,t,t,?,f,t,f,l,f,?,f,f,t,f,t,f,f,?,f,f,t,f,f,f,f,f,f,t,t,f,n,nowin
f,f,f,f,f,f,?,t,t,f,t,f,?,f,n,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,t,f,t,t,f,n,nowin
f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,t,f,t,f,t,f,f,f,t,f,f,?,f,f,f,t,t,f,?,nowin
f,f,f,f,f,f,t,t,t,f,t,f,l,f,n,?,f,t,f,t,f,t,f,f,f,?,f,f,f,?,t,?,?,t,f,n,nowin
f,f,f,f,f,f,?,t,t,f,t,f,l,f,n,f,f,t,f,?,f,t,f,f,f,t,f,f,f,f,f,f,f,t,f,n,nowin
t,f,f,?,?,f,t,t,t,f,?,f,l,f,?,f,?,?,f,f,f,f,f,t,f,t,?,?,f,f,f,t,f,t,f,n,?
f,?,f,f,t,f,t,t,t,f,t,f,l,f,n,?,f,f,?,?,f,?,f,t,f,t,f,f,f,f,?,f,t,f,f,n,nowin
f,f,f,f,t,f,t,t,t,f,?,f,l,f,n,f,f,?,?,f,f,f,f,t,f,t,f,f,f,?,f,f,?,f,f,n,nowin
f,?,f,f,f,f,t,t,t,f,t,f,l,f,n,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,?,f,f,n,?
f,f,f,f,f,f,?,f,f,f,t,f,l,f,n,f,t,t,f,f,f,f,t,f,f,t,f,f,f,f,f,f,t,t,?,n,nowin
f,f,f,?,f,f,t,t,t,f,f,?,l,f,n,?,f,t,f,t,f,?,t,f,f,?,f,f,f,f,?,t,f,t,f,n,nowin
?,f,f,f,f,f,t,t,t,f,f,f,l,f,n,f,f,t,f,t,f,t,t,f,f,?,f,f,f,f,t,t,f,t,f,?,nowin
f,f,f,f,f,f,t,t,t,f,f,f,l,f,?,f,f,f,f,t,f,?,t,f,f,?,f,f,f,f,t,t,f,f,f,?,nowin
t,t,t,f,f,f,f,f,f,f,f,?,?,t,?,t,f,t,f,?,f,f,f,t,f,t,f,f,f,f,f,t,f,f,f,n,nowin
?,t,t,f,f,f,f,f,f,f,f,f,l,t,n,?,f,t,f,f,f,f,f,?,f,t,f,f,f,f,?,t,f,f,f,n,nowin
t,?,f,t,f,f,f,f,?,f,f,f,l,t,n,t,f,t,f,t,?,f,f,t,f,t,f,f,f,f,f,t,?,f,f,n,nowin
t,t,f,t,?,f,f,f,f,f,f,f,l,t,?,t,f,t,f,t,?,f,f,f,f,t,f,f,f,f,f,t,f,f,f,n,nowin
t,f,f,f,f,f,f,f,?,f,t,f,l,f,b,?,f,t,f,f,f,f,f,t,f,t,f,t,f,t,?,f,?,t,f,n,nowin
f,f,f,f,f,t,t,f,f,?,t,f,l,?,n,f,f,t,f,t,f,f,f,t,f,t,f,?,?,f,t,f,t,t,f,n,nowin
f,f,f,t,f,t,f,f,f,f,?,f,l,?,n,f,f,t,f,t,f,f,f,f,f,t,t,f,f,f,t,f,t,t,f,n,nowin
f,f,f,t,f,t,f,?,?,?,t,f,l,f,n,?,?,?,f,t,f,f,f,?,?,t,t,f,f,?,t,f,t,t,f,n,nowin
f,f,f,f,f,t,f,f,f,f,t,f,l,f,n,t,?,t,f,f,f,f,f,f,f,t,f,f,f,?,t,f,t,f,f,n,nowin
f,t,f,f,?,t,f,f,f,f,t,f,l,f,n,t,f,t,f,f,f,?,f,f,?,t,?,f,f,f,t,f,t,t,f,n,nowin
f,f,f,f,f,t,f,f,f,f,?,?,l,f,n,t,f,t,f,t,f,f,f,f,?,t,?,f,f,f,t,f,t,f,f,n,nowin
f,t,f,f,?,t,f,f,f,f,?,f,?,f,n,t,f,t,f,t,f,f,f,f,f,t,f,f,f,f,t,f,t,f,f,n,nowin
f,f,?,t,f,t,f,f,f,f,t,f,l,f,n,?,f,t,f,t,?,f,f,f,f,t,t,f,f,f,t,f,?,f,f,n,nowin
f,f,f,t,f,t,f,?,f,f,t,f,?,f,?,t,f,t,f,t,f,f,f,f,t,t,t,f,f,f,t,f,t,f,f,n,nowin
f,f,f,f,t,t,t,f,?,f,t,f,l,f,n,f,f,t,f,t,f,f,f,f,f,t,f,?,f,f,t,f,?,t,f,n,nowin
f,f,?,f,t,?,t,f,f,f,t,f,?,f,n,t,f,t,f,f,?,?,f,f,f,t,f,f,f,f,f,f,?,f,f,n,nowin
f,f,?,f,f,?,?,f,f,f,t,f,l,f,n,t,f,t,?,t,f,f,f,f,f,t,?,f,f,f,t,f,t,f,f,n,?
f,f,f,f,t,?,t,f,f,f,t,f,l,f,n,t,f,t,f,t,?,f,f,f,f,t,f,f,f,f,?,f,t,f,f,n,nowin
f,f,f,f,f,t,t,f,t,f,t,f,?,?,n,f,f,t,f,t,f,t,f,f,f,t,f,f,f,f,t,f,t,t,f,?,nowin
